,日期,超过月均线股票占比,超过半年均线股票占比,超过月指数均线股票占比,超过半年指数均线股票占比,创新高股票占比,总股票数
0,2015-01-05,0.6431613819214387,0.38618078561287267,0.6161855182205395,0.3762423095125414,0.10269758637008992,2113
1,2015-01-06,0.5639204545454546,0.32954545454545453,0.5208333333333334,0.3020833333333333,0.06439393939393939,2112
2,2015-01-07,0.5571293673276676,0.34608120868744097,0.5311614730878187,0.31633616619452315,0.044381491973559964,2118
3,2015-01-08,0.601418439716312,0.3484633569739953,0.5607565011820331,0.31962174940898347,0.025059101654846337,2115
4,2015-01-09,0.6685579196217494,0.3659574468085106,0.6354609929078014,0.3366430260047281,0.01702127659574468,2115
5,2015-01-12,0.7568590350047304,0.41579943235572375,0.7455061494796594,0.4011352885525071,0.024124881740775782,2114
6,2015-01-13,0.6567234848484849,0.375,0.6387310606060606,0.3380681818181818,0.023674242424242424,2112
7,2015-01-14,0.6571969696969697,0.39109848484848486,0.6704545454545454,0.3522727272727273,0.015625,2112
8,2015-01-15,0.5721747388414055,0.37226970560303896,0.5845204178537512,0.3285849952516619,0.01899335232668566,2106
9,2015-01-16,0.4205298013245033,0.33491012298959316,0.45269631031220436,0.2857142857142857,0.03784295175023652,2114
10,2015-01-19,0.6443176414645744,0.4241559676652401,0.7132667617689016,0.38849262957679503,0.01759391345696624,2103
11,2015-01-20,0.36774500475737393,0.3011417697431018,0.4105613701236917,0.24215033301617508,0.05566127497621313,2102
12,2015-01-21,0.2344270090347123,0.2320494531621493,0.21398002853067047,0.15026153114598192,0.06657156443176415,2103
13,2015-01-22,0.17647058823529413,0.18927893738140417,0.13330170777988615,0.09962049335863378,0.07969639468690702,2108
14,2015-01-23,0.19451017510648366,0.23379081874112637,0.18409843823946995,0.13819214387127307,0.043066729768102226,2113
15,2015-01-26,0.1285444234404537,0.1833648393194707,0.0893194706994329,0.08790170132325142,0.1053875236294896,2116
16,2015-01-27,0.11221122112211221,0.1716171617161716,0.09005186232909006,0.0810938236680811,0.10325318246110325,2121
17,2015-01-28,0.13486842105263158,0.17669172932330826,0.12640977443609022,0.08176691729323309,0.05451127819548872,2128
18,2015-01-29,0.16924519456165027,0.19971870604781997,0.20815752461322082,0.1087669948429442,0.050164088138771684,2133
19,2015-01-30,0.25316455696202533,0.236755743084857,0.35724331926863573,0.15049226441631505,0.037037037037037035,2133
20,2015-02-02,0.3578154425612053,0.2551789077212806,0.4326741996233522,0.1699623352165725,0.046610169491525424,2124
21,2015-02-03,0.25093984962406013,0.21334586466165414,0.2791353383458647,0.11090225563909774,0.05639097744360902,2128
22,2015-02-04,0.305594734367654,0.22519981194170194,0.3690644099670898,0.1316408086506817,0.05735778091208275,2127
23,2015-02-05,0.3918982571832313,0.2477626000942063,0.4649081488459727,0.1544983513895431,0.05699481865284974,2123
24,2015-02-06,0.5872641509433962,0.3320754716981132,0.6367924528301887,0.2528301886792453,0.025943396226415096,2120
25,2015-02-09,0.6572371522866572,0.35313531353135313,0.6850542197076851,0.280999528524281,0.01885902876001886,2121
26,2015-02-10,0.6163731556401714,0.3255592574964303,0.6101856258924322,0.24178962398857687,0.026653974297953357,2101
27,2015-02-11,0.5464895635673624,0.29886148007590135,0.5109108159392789,0.1954459203036053,0.05502846299810247,2108
28,2015-02-12,0.45734597156398105,0.26303317535545023,0.3962085308056872,0.16018957345971563,0.05260663507109005,2110
29,2015-02-13,0.2845643939393939,0.21022727272727273,0.19839015151515152,0.109375,0.07528409090909091,2112
30,2015-02-16,0.18564005668398678,0.15588096362777515,0.1095890410958904,0.06093528578176665,0.13793103448275862,2117
31,2015-02-17,0.1623134328358209,0.14925373134328357,0.08582089552238806,0.05923507462686567,0.11473880597014925,2144
32,2015-02-25,0.1947565543071161,0.14840823970037453,0.14372659176029962,0.06273408239700375,0.09176029962546817,2136
33,2015-02-26,0.09920449227889565,0.13102480112306972,0.05334581188582124,0.04305100608329434,0.07674309780065512,2137
34,2015-02-27,0.06735266604303088,0.10430308699719364,0.035079513564078575,0.029934518241347054,0.11506080449017773,2138
35,2015-03-02,0.025833724753405354,0.060591827148896195,0.018788163457022077,0.015030530765617662,0.19492719586660404,2129
36,2015-03-03,0.08031939877876937,0.07891028651949272,0.08266791921089714,0.02160638797557539,0.13292625645843117,2129
37,2015-03-04,0.05166744950681071,0.04744011272898074,0.0497886331611085,0.010803193987787695,0.19586660403945513,2129
38,2015-03-05,0.08250825082508251,0.04337576614804337,0.09193776520509193,0.011315417256011316,0.1782178217821782,2121
39,2015-03-06,0.10461828463713478,0.06738925541941565,0.13242224316682374,0.015551366635249765,0.08671065032987747,2122
40,2015-03-09,0.08652482269503546,0.05390070921985816,0.091725768321513,0.014184397163120567,0.1309692671394799,2115
41,2015-03-10,0.07510628247520075,0.03920642418516769,0.07416154936230515,0.007557864903164856,0.17052432687765706,2117
42,2015-03-11,0.10051911278905144,0.04672015101462954,0.11042944785276074,0.010382255781028787,0.1363850873053327,2119
43,2015-03-12,0.11609249646059462,0.05899008966493629,0.12128362435110901,0.012741859367626238,0.08211420481359132,2119
44,2015-03-13,0.07437233538607295,0.03505447655139744,0.060161061108479394,0.006631927996210327,0.13027001421127427,2111
45,2015-03-16,0.020417853751187084,0.013770180436847104,0.011870845204178538,0.0033238366571699905,0.3352326685660019,2106
46,2015-03-17,0.010926365795724466,0.009501187648456057,0.003800475059382423,0.0023752969121140144,0.2954869358669834,2105
47,2015-03-18,0.008518693800283956,0.00473260766682442,0.003312825366777094,0.001419782300047326,0.41410317084713677,2113
48,2015-03-19,0.012802275960170697,0.003793266951161688,0.006164058795637743,0.001896633475580844,0.3409198672356567,2109
49,2015-03-20,0.010874704491725768,0.003309692671394799,0.00425531914893617,0.0009456264775413711,0.3404255319148936,2115
50,2015-03-23,0.006196377502383222,0.0023832221163012394,0.002859866539561487,0.0009532888465204957,0.5433746425166825,2098
51,2015-03-24,0.012869399428026692,0.0023832221163012394,0.006196377502383222,0.0014299332697807435,0.3284080076263108,2098
52,2015-03-25,0.01764425369575584,0.002384358607534573,0.01335240820219361,0.001430615164520744,0.3423938960419647,2097
53,2015-03-26,0.03347680535628886,0.003347680535628886,0.02295552367288379,0.0014347202295552368,0.16881874701099953,2091
54,2015-03-27,0.029580152671755726,0.0028625954198473282,0.01717557251908397,0.0009541984732824427,0.22519083969465647,2096
55,2015-03-30,0.03641590800191662,0.0033540967896502154,0.025874460948730235,0.0009583133684714902,0.28126497364638237,2087
56,2015-03-31,0.031503579952267304,0.003341288782816229,0.018615751789976133,0.0009546539379474941,0.1727923627684964,2095
57,2015-04-01,0.013849092645654251,0.002387774594078319,0.0057306590257879654,0.0009551098376313276,0.38299904489016234,2094
58,2015-04-02,0.01053639846743295,0.0019157088122605363,0.004789272030651341,0.0009578544061302681,0.5167624521072797,2088
59,2015-04-03,0.01239866475917978,0.001430615164520744,0.005245588936576061,0.0009537434430138292,0.5550786838340487,2097
60,2015-04-07,0.0043206913106096975,0.0014402304368698992,0.0009601536245799327,0.0009601536245799327,0.6313010081613059,2083
61,2015-04-08,0.021174205967276226,0.0014436958614051972,0.01203079884504331,0.00048123195380173246,0.24446583253128007,2078
62,2015-04-09,0.09174311926605505,0.0014485755673587638,0.07870593915982617,0.0004828585224529213,0.17720907774022213,2071
63,2015-04-10,0.054027978774722624,0.001929570670525808,0.027978774722624215,0.000964785335262904,0.28509406657018815,2073
64,2015-04-13,0.03812741312741313,0.0019305019305019305,0.016891891891891893,0.0009652509652509653,0.4266409266409266,2072
65,2015-04-14,0.05652173913043478,0.001932367149758454,0.034782608695652174,0.000966183574879227,0.2942028985507246,2070
66,2015-04-15,0.2328633932912008,0.0019445794846864365,0.21147301895964998,0.0009722897423432182,0.09285367039377734,2057
67,2015-04-16,0.2174124513618677,0.0024319066147859923,0.17023346303501946,0.0014591439688715954,0.14153696498054474,2056
68,2015-04-17,0.20058280718795532,0.0024283632831471587,0.1393880524526469,0.0009713453132588635,0.13258863525983486,2059
69,2015-04-20,0.38457807953443257,0.0038797284190106693,0.3486905916585839,0.001454898157129001,0.1008729388942774,2062
70,2015-04-21,0.1927536231884058,0.001932367149758454,0.09371980676328502,0.000966183574879227,0.1826086956521739,2070
71,2015-04-22,0.08649687650168188,0.0014416146083613647,0.016818837097549257,0.0009610764055742432,0.3142719846227775,2081
72,2015-04-23,0.07379012937230474,0.0019166267369429804,0.019166267369429803,0.0009583133684714902,0.26497364638236703,2087
73,2015-04-24,0.1288782816229117,0.0019093078758949881,0.05489260143198091,0.001431980906921241,0.22577565632458235,2095
74,2015-04-27,0.12053358742258218,0.0014292520247737017,0.043353978084802285,0.0009528346831824678,0.2134349690328728,2099
