日期,博普CTA趋势1号A类
2017-10-20,1.0
2017-10-27,0.998
2017-11-03,0.991
2017-11-10,0.995
2017-11-17,0.998
2017-11-24,1.003
2017-12-01,1.014
2017-12-08,1.051
2017-12-15,1.044
2017-12-22,1.04
2017-12-29,1.0145
2018-01-05,1.0152
2018-01-12,1.009
2018-01-19,0.9959
2018-01-26,1.0147
2018-02-02,1.0181
2018-02-09,1.0076
2018-02-14,1.0083
2018-02-23,1.0045
2018-03-02,1.0126
2018-03-09,1.0072
2018-03-16,1.0017
2018-03-23,1.0434
2018-03-30,1.0484
2018-04-04,1.0472
2018-04-13,1.0307
2018-04-20,1.0225
2018-04-27,1.0142
2018-05-04,1.0227
2018-05-11,1.0076
2018-05-18,1.02
2018-05-25,1.0163
2018-06-01,1.0391
2018-06-08,1.0225
2018-06-15,1.0061
2018-06-22,1.0078
2018-06-29,1.0195
2018-07-06,1.0089
2018-07-13,1.0234
2018-07-20,1.0081
2018-07-27,1.0113
2018-08-03,1.0452
2018-08-10,1.0834
2018-08-17,1.0962
2018-08-24,1.0759
2018-08-31,1.08
2018-09-07,1.0728
2018-09-14,1.0754
2018-09-21,1.0418
2018-09-28,1.051
2018-10-12,1.0508
2018-10-19,1.0717
2018-10-26,1.1071
2018-11-02,1.1266
2018-11-09,1.1393
2018-11-16,1.1024
2018-11-23,1.122
2018-11-30,1.1531
2018-12-07,1.1067
2018-12-14,1.1202
2018-12-21,1.0805
2018-12-28,1.1061
2019-01-04,1.1068
2019-01-11,1.0825
2019-01-18,1.1157
2019-01-25,1.1256
2019-02-01,1.1807
2019-02-15,1.1648
2019-02-22,1.131
2019-03-01,1.1556
2019-03-08,1.1395
2019-03-15,1.137
2019-03-22,1.0984
2019-03-29,1.1466
2019-04-04,1.1705
2019-04-12,1.1593
2019-04-19,1.1795
2019-04-26,1.151
2019-04-30,1.1482
2019-05-10,1.1407
2019-05-17,1.1853
2019-05-24,1.2078
2019-05-31,1.1944
2019-06-06,1.2236
2019-06-14,1.2044
2019-06-21,1.121
2019-06-28,1.1452
2019-07-05,1.1307
2019-07-12,1.1588
2019-07-19,1.1427
2019-07-26,1.1256
2019-08-02,1.1434
2019-08-09,1.111
2019-08-16,1.1226
2019-08-23,1.1109
2019-08-30,1.0944
2019-09-06,1.1052
2019-09-12,1.1066
2019-09-20,1.1022
2019-09-27,1.09
2019-09-30,1.0846
2019-10-11,1.1161
2019-10-18,1.1694
2019-10-25,1.1775
2019-11-01,1.1775
2019-11-08,1.1791
2019-11-15,1.2092
2019-11-22,1.2274
2019-11-29,1.243
2019-12-06,1.2368
2019-12-13,1.2237
2019-12-20,1.2258
2019-12-27,1.2107
2019-12-31,1.2566
2020-01-03,1.2566
2020-01-10,1.2843
2020-01-17,1.3674
2020-01-23,1.3623
2020-01-31,1.2917
2020-02-07,1.3382
2020-02-14,1.358
2020-02-21,1.3405
2020-02-28,1.3777
2020-03-06,1.4436
2020-03-13,1.6978
2020-03-20,1.7274
2020-03-27,1.8894
2020-04-03,1.9891
2020-04-10,1.9216
2020-04-17,1.9373
2020-04-24,1.9452
2020-04-30,1.9655
2020-05-06,1.9539
2020-05-07,1.9558
2020-05-08,1.9798
2020-05-11,1.9904
2020-05-12,2.01
2020-05-13,2.0099
2020-05-14,2.002
2020-05-15,1.9804
2020-05-18,2.0745
2020-05-19,2.1217
2020-05-20,2.1092
2020-05-21,2.1143
2020-05-22,2.1122
2020-05-25,2.1126
2020-05-26,2.1319
2020-05-27,2.1159
2020-05-28,2.185
2020-05-29,2.2046
2020-06-01,2.2631
2020-06-02,2.3106
2020-06-03,2.3272
2020-06-04,2.3098
2020-06-05,2.2965
2020-06-08,2.3218
2020-06-09,2.3667
2020-06-10,2.4136
2020-06-11,2.4458
2020-06-12,2.467
2020-06-15,2.449
2020-06-16,2.4764
2020-06-17,2.5019
2020-06-18,2.501
2020-06-19,2.5151
2020-06-22,2.5266
2020-06-23,2.5264
2020-06-24,2.5226
2020-06-29,2.5678
2020-06-30,2.5773
2020-07-01,2.6322
2020-07-02,2.6944
2020-07-03,2.7366
2020-07-06,2.8426
2020-07-07,2.9021
2020-07-08,2.9506
2020-07-09,3.0282
2020-07-10,3.1147
2020-07-13,3.1997
2020-07-14,3.2452
2020-07-15,3.2184
2020-07-16,3.1759
2020-07-17,3.2489
2020-07-20,3.3058
2020-07-21,3.3681
2020-07-22,3.4173
2020-07-23,3.3614
2020-07-24,3.3287
2020-07-27,3.3237
2020-07-28,3.3349
2020-07-29,3.3789
2020-07-30,3.4222
2020-07-31,3.3933
2020-08-03,3.5335
2020-08-04,3.6192
2020-08-05,3.6041
2020-08-06,3.6337
2020-08-07,3.6728
2020-08-10,3.5738
2020-08-11,3.5612
2020-08-12,3.6172
2020-08-13,3.5862
2020-08-14,3.589
2020-08-17,3.6011
2020-08-18,3.6642
2020-08-19,3.7246
2020-08-20,3.7215
2020-08-21,3.6958
2020-08-24,3.6532
2020-08-25,3.653
2020-08-26,3.6458
2020-08-27,3.659
2020-08-28,3.6716
2020-08-31,3.7205
2020-09-01,3.7273
2020-09-02,3.7531
2020-09-03,3.7373
2020-09-04,3.7387
2020-09-07,3.7826
2020-09-08,3.7801
2020-09-09,3.7313
2020-09-10,3.7465
2020-09-11,3.768
2020-09-14,3.7917
2020-09-15,3.8046
2020-09-16,3.8984
2020-09-17,3.9054
2020-09-18,3.8853
2020-09-21,3.8611
2020-09-22,3.8551
2020-09-23,3.8228
2020-09-24,3.78
2020-09-25,3.7588
2020-09-28,3.7919
2020-09-29,3.7701
2020-09-30,3.7566
2020-10-09,3.7873
2020-10-12,3.846
2020-10-13,3.828
2020-10-14,3.8194
2020-10-15,3.8048
2020-10-16,3.8137
2020-10-19,3.7894
2020-10-20,3.8017
2020-10-21,3.8201
2020-10-22,3.8077
2020-10-23,3.8372
2020-10-26,3.8444
2020-10-27,3.8861
2020-10-28,3.8921
2020-10-29,3.8787
2020-10-30,3.9276
2020-11-02,3.9631
2020-11-03,4.0008
2020-11-04,4.0141
2020-11-05,3.9959
2020-11-06,3.9879
2020-11-09,4.0318
2020-11-10,3.9824
2020-11-11,3.9523
2020-11-12,3.9361
2020-11-13,3.9694
2020-11-16,3.9975
2020-11-17,4.0031
2020-11-18,4.0248
2020-11-19,4.105
2020-11-20,4.1362
2020-11-23,4.2203
2020-11-24,4.1742
2020-11-25,4.1673
2020-11-26,4.1553
2020-11-27,4.1908
2020-11-30,4.2164
2020-12-04,4.1936
2020-12-11,4.627
2020-12-18,4.6934
2020-12-25,4.4676
2020-12-31,4.3855
2021-01-08,4.5268
2021-01-15,4.4406
2021-01-22,4.3803
2021-01-29,4.4438
2021-02-05,4.3908
2021-02-10,4.5687
2021-02-19,4.7582
2021-02-26,4.7779
2021-03-05,4.6058
2021-03-12,4.7515
2021-03-19,4.5603
2021-03-26,4.6428
2021-04-02,4.6086
