日期,宏量鼎诚
2019-05-28,1.0
2019-06-10,1.0001
2019-07-10,0.9991
2019-08-12,1.0122
2019-08-26,1.0163
2019-09-25,1.0249
2019-10-25,1.028
2019-11-25,1.0307
2019-12-25,1.0361
2020-02-03,1.043
2020-02-07,1.0733
2020-02-14,1.085
2020-02-21,1.0985
2020-02-25,1.1139
2020-02-28,1.14
2020-03-06,1.1179
2020-03-25,1.1517
2020-04-27,1.1614
2020-04-29,1.1614
2020-05-25,1.1634
2020-06-29,1.1644
2020-07-27,1.1952
2020-08-11,1.2074
2020-08-25,1.212592
2020-09-25,1.215731
2020-10-26,1.221768
2020-11-25,1.232393
2020-12-25,1.23674
2021-01-25,1.248814
2021-02-25,1.24652
2021-03-25,1.242535
