超前,一致,申万行业指数:白酒:月,date
79.56119261547053,92.56016803597572,11660.47,2012-02
79.8351329542449,93.18855597534777,11271.43,2012-03
79.8843806236084,93.4696501433747,12597.11,2012-04
79.92826117719812,93.46718006687655,12636.86,2012-05
80.29231209488047,93.6146415836047,12887.8,2012-06
80.55229193404317,93.79299935297948,12996.83,2012-07
80.76220548569553,92.85629025415872,11867.64,2012-08
80.96732260778597,93.55203052293074,12728.7,2012-09
80.97418396482455,93.78164480878353,12780.7,2012-10
81.29108200923169,92.72899377763231,10499.82,2012-11
81.64234800150149,93.33282248262122,10862.1,2012-12
81.67475716322451,93.5997462421917,9548.9,2013-01
82.02737484705884,93.80010860151435,9522.76,2013-02
82.3695121670439,93.22070567830278,8421.07,2013-03
82.51292259405463,92.81324114707613,8173.14,2013-04
82.55027285014293,92.84614432856846,9022.84,2013-05
82.50046178634219,92.29251961303686,8085.02,2013-06
82.67892499602961,91.95915983083708,7444.76,2013-07
83.07483947508003,91.64082196726208,7526.72,2013-08
83.08406303507996,91.25944865628846,6545.36,2013-09
83.06797768528739,90.94810031942511,6236.8,2013-10
83.32272161187859,90.99658780825371,6523.31,2013-11
83.4096497603567,90.70986843476858,6127.15,2013-12
83.47338986283481,90.368647170307,5776.18,2014-01
83.42180172750977,90.52252914953951,6239.99,2014-02
83.73911668555895,90.04465299836757,6428.35,2014-03
83.82047346274534,90.05944865501536,6695.07,2014-04
83.95026950348435,89.92552121803537,6372.78,2014-05
84.12603710453023,89.94098286690769,6478.1,2014-06
84.10086476391966,90.4298103039522,7289.4,2014-07
84.25926888749461,90.50389633573711,7295.61,2014-08
84.50152259974591,90.57532845834089,7398.37,2014-09
84.35342469794637,90.34049340166143,7133.57,2014-10
84.5408515685021,90.39045320269558,7273.66,2014-11
84.89686414835461,91.04497183390038,8821.62,2014-12
85.19828802667931,91.05385884277484,8512.93,2015-01
85.53685742949938,91.29378611788688,8754.8,2015-02
85.98265269518718,91.6262716267212,9319.61,2015-03
86.01444636405787,92.43553758004697,11029.93,2015-04
86.21428570626911,92.99425126044177,11467.81,2015-05
86.65875634836378,93.36938371029599,12215.42,2015-06
86.81037122283095,92.67178594337236,10408.5,2015-07
86.96767002741899,92.0292616367974,9524.78,2015-08
87.83625969249007,91.91990787571773,9284.22,2015-09
88.12239716489482,92.51528209620415,10156.76,2015-10
89.06693461155382,92.68815628355033,10128.85,2015-11
90.38009151780203,93.0162916909548,10900.61,2015-12
91.38085503869405,92.18893782586194,9360.44,2016-01
91.84676198961976,92.81632392479366,9447.29,2016-02
93.35527656250149,94.15219241998919,11234.64,2016-03
94.44252388143768,94.15561306829122,11376.14,2016-04
95.36076942663108,94.78587372693704,11897.11,2016-05
96.35919462723739,95.57894643404768,13149.04,2016-06
96.96386178896428,96.64650365989785,13884.34,2016-07
98.03100875649504,96.91346105210141,13626.07,2016-08
100.1803864205357,96.84996130639539,12996.3,2016-09
100.9316256320157,97.43891362055025,13866.08,2016-10
102.96344181888833,97.46696655585622,13898.02,2016-11
105.984478120129,97.92133083330533,14069.14,2016-12
107.71226517221984,98.09019028053108,14393.74,2017-01
107.98715221258989,99.9216052843277,15349.29,2017-02
110.14104332564622,100.98207382464332,16471.91,2017-03
110.48029316228772,101.80230552519397,17054.95,2017-04
110.61639030107942,102.15301341527908,17842.97,2017-05
110.52420430353455,103.08825475309082,19243.9,2017-06
110.98951690525348,103.73181026171481,20093.37,2017-07
112.03962061337697,104.12692632727286,20342.03,2017-08
112.25009338795765,105.21545746354768,21602.92,2017-09
112.7955940461637,106.87586843739221,24685.09,2017-10
114.09134862524321,107.10068933140231,24349.84,2017-11
114.60055690520761,108.74458054537352,27312.81,2017-12
115.666853231131,112.02419952385449,29258.37,2018-01
116.19138667988429,111.72783375009845,26910.68,2018-02
117.29163393096637,111.45365180919438,25239.19,2018-03
117.75784597008483,112.29865383094557,25220.45,2018-04
118.07613971339521,114.73879139775187,29649.85,2018-05
119.28868504876438,113.5764242202099,28561.99,2018-06
119.63583015515019,113.20431889376182,27952.39,2018-07
120.10697774966475,112.283178840267,24504.56,2018-08
121.70638948051266,114.00426799155792,26811.84,2018-09
122.47913718306549,111.78107398600483,19667.43,2018-10
124.17844420654122,112.61140230901847,20821.95,2018-11
127.92976441200406,113.066790461872,20920.39,2018-12
130.4357653965564,114.97791861546955,23919.41,2019-01
131.21939962232216,117.24417543905432,27116.83,2019-02
134.1993610477544,119.93722143604029,32595.42,2019-03
135.15264416891227,120.97816168701124,35483.88,2019-04
136.3391925194615,119.51510430404065,33153.44,2019-05
145.45448210742126,121.74724916846863,37149.22,2019-06
148.91718338431133,122.77465463614614,36833.04,2019-07
151.4852392069918,128.27741605958457,42265.06,2019-08
155.101421109597,132.73616983771728,41122.57,2019-09
157.42087339205884,136.10160203310105,41687.08,2019-10
